Dataset,FileName,Type,|V|,|E|
ISCAS,s27.d,DU,55,87
ISCAS,s208.d,DU,83,119
ISCAS,s420.d,DU,104,178
ISCAS,s344.d,DU,274,388
ISCAS,s349.d,DU,278,395
ISCAS,s382.d,DU,273,438
ISCAS,mm4a.d,DU,170,454
ISCAS,s400.d,DU,287,462
ISCAS,s444.d,DU,315,503
ISCAS,mult16b.d,DU,333,545
ISCAS,s526n.d,DU,292,560
ISCAS,s526.d,DU,318,576
ISCAS,mult16a.d,DU,293,582
ISCAS,s641.d,DU,477,612
ISCAS,s713.d,DU,515,688
ISCAS,s838.d,DU,665,941
ISCAS,s953.d,DU,730,1090
ISCAS,mult32a.d,DU,565,1142
ISCAS,mm9a.d,DU,631,1182
ISCAS,s1423.d,DU,916,1448
ISCAS,mm9b.d,DU,777,1452
ISCAS,sbc.d,DU,1147,1791
ISCAS,ecc.d,DU,1618,2843
ISCAS,phase-decoder.d,DU,1671,3379
ISCAS,daio-receiver.d,DU,1942,3749
ISCAS,mm30a.d,DU,2059,3912
ISCAS,s9234.d,DU,3083,4298
ISCAS,s5378.d,DU,3076,4590
ISCAS,parker1986.d,DU,2795,5027
ISCAS,dsip.d,DU,4079,6602
ISCAS,bigkey.d,DU,3661,12206
ISCAS,s38584.d,DU,20349,34563
ISCAS,s38417.d,DU,24255,34876
ISPD,ibm01.d,DU,12752,36681
ISPD,ibm02.d,DU,19601,61829
ISPD,ibm03.d,DU,23136,66429
ISPD,ibm04.d,DU,27507,74138
ISPD,ibm06.d,DU,32498,93493
ISPD,ibm05.d,DU,29347,98793
ISPD,ibm07.d,DU,45926,127774
ISPD,ibm08.d,DU,51309,154644
ISPD,ibm09.d,DU,53395,161430
ISPD,ibm11.d,DU,70558,199694
ISPD,ibm10.d,DU,69429,223090
ISPD,ibm12.d,DU,71076,241135
ISPD,ibm13.d,DU,84199,257788
ISPD,ibm14.d,DU,147605,394497
ISPD,ibm15.d,DU,161570,529562
ISPD,ibm16.d,DU,183484,589253
ISPD,ibm18.d,DU,210613,618020
ISPD,ibm17.d,DU,185495,671174
LAW,word-assoc.txt,LU,10617,72172
LAW,enron.txt,LU,69244,276143
LAW,dblp-2010.txt,LU,326186,1615400
LAW,uk-2007-05@100000.txt,LU,100000,3050615
LAW,cnr-2000.txt,LU,325557,3216152
LAW,amazon-2008.txt,LU,735323,5158388
LAW,dblp-2011.txt,LU,986324,6707236
LAW,in-2004.txt,LU,1382908,16917053
LAW,uk-2014-tpd.txt,LU,1766010,18244650
LAW,eu-2005.txt,LU,862664,19235140
LAW,eswiki-2013.txt,LU,972839,23041488
LAW,itwiki-2013.txt,LU,1016246,25619926
LAW,frwiki-2013.txt,LU,1351881,34378431
LAW,dewiki-2013.txt,LU,1531890,36722696
LAW,uk-2007-05@1000000.txt,LU,1000000,41247159
LAW,uk-2014-host.txt,LU,4769354,50829923
LAW,ljournal-2008.txt,LU,5363260,79023142
