Graph	Algorithm	Seed	Solution	Time
erdos_renyi_n_100_c_7_seed_1.edges	Greedy	1	188	0
erdos_renyi_n_100_c_7_seed_1.edges	Greedy	10	185	0
erdos_renyi_n_100_c_7_seed_1.edges	Greedy	2	183	0
erdos_renyi_n_100_c_7_seed_1.edges	Greedy	3	181	0
erdos_renyi_n_100_c_7_seed_1.edges	Greedy	4	187	0
erdos_renyi_n_100_c_7_seed_1.edges	Greedy	5	187	0
erdos_renyi_n_100_c_7_seed_1.edges	Greedy	6	188	0
erdos_renyi_n_100_c_7_seed_1.edges	Greedy	7	186	0
erdos_renyi_n_100_c_7_seed_1.edges	Greedy	8	187	0
erdos_renyi_n_100_c_7_seed_1.edges	Greedy	9	187	0
erdos_renyi_n_100_c_7_seed_1.edges	HCS+Greedy	1	186	0
erdos_renyi_n_100_c_7_seed_1.edges	HCS+Greedy	10	187	0
erdos_renyi_n_100_c_7_seed_1.edges	HCS+Greedy	2	185	0
erdos_renyi_n_100_c_7_seed_1.edges	HCS+Greedy	3	188	0
erdos_renyi_n_100_c_7_seed_1.edges	HCS+Greedy	4	186	0
erdos_renyi_n_100_c_7_seed_1.edges	HCS+Greedy	5	186	0
erdos_renyi_n_100_c_7_seed_1.edges	HCS+Greedy	6	188	0
erdos_renyi_n_100_c_7_seed_1.edges	HCS+Greedy	7	183	0
erdos_renyi_n_100_c_7_seed_1.edges	HCS+Greedy	8	188	0
erdos_renyi_n_100_c_7_seed_1.edges	HCS+Greedy	9	187	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-12	1	182	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-12	10	186	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-12	2	177	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-12	3	184	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-12	4	184	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-12	5	185	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-12	6	181	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-12	7	179	2
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-12	8	179	2
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-12	9	185	2
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-16	1	181	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-16	10	184	2
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-16	2	178	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-16	3	179	2
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-16	4	176	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-16	5	175	2
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-16	6	178	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-16	7	185	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-16	8	181	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-16	9	178	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-24	1	180	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-24	10	180	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-24	2	178	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-24	3	185	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-24	4	181	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-24	5	183	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-24	6	183	2
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-24	7	179	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-24	8	180	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-24	9	179	2
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-2	1	174	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-2	10	167	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-2	2	166	0
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-2	3	163	1
erdos_renyi_n_100_c_7_seed_1.edges	SimFASDC-2	4	173	0
