Graph	Algorithm	RandomSeed	|E|	w(E)	Time
Amazon0302	HCS	1	881582	881658	3573
Amazon0302	HCS	10	881586	881662	3532
Amazon0302	HCS	2	881584	881660	2869
Amazon0302	HCS	3	881596	881677	2801
Amazon0302	HCS	4	881590	881668	3497
Amazon0302	HCS	5	881580	881655	3135
Amazon0302	HCS	6	881584	881660	2822
Amazon0302	HCS	7	881586	881662	2407
Amazon0302	HCS	8	881588	881666	3066
Amazon0302	HCS	9	881586	881664	2913
Amazon0302	RED	1	11525	11750	1028
Amazon0302	RED	10	11525	11750	1226
Amazon0302	RED	2	11525	11750	1202
Amazon0302	RED	3	11525	11750	1031
Amazon0302	RED	4	11525	11750	1664
Amazon0302	RED	5	11525	11750	1193
Amazon0302	RED	6	11525	11750	1652
Amazon0302	RED	7	11525	11750	1144
Amazon0302	RED	8	11525	11750	1223
Amazon0302	RED	9	11525	11750	1642
Amazon0302	REDstar	1	1586	1761	1265
Amazon0302	REDstar	10	1586	1766	1296
Amazon0302	REDstar	2	1586	1769	1235
Amazon0302	REDstar	3	1586	1766	1282
Amazon0302	REDstar	4	1586	1770	1224
Amazon0302	REDstar	5	1586	1765	1282
Amazon0302	REDstar	6	1586	1765	1259
Amazon0302	REDstar	7	1586	1766	1134
Amazon0302	REDstar	8	1586	1766	1076
Amazon0302	REDstar	9	1586	1765	1129
Amazon0302	scc+2cyc+chain	1	14138	14159	952
Amazon0302	scc+2cyc+chain	10	14138	14159	1425
Amazon0302	scc+2cyc+chain	2	14138	14159	960
Amazon0302	scc+2cyc+chain	3	14138	14159	950
Amazon0302	scc+2cyc+chain	4	14138	14159	1030
Amazon0302	scc+2cyc+chain	5	14138	14159	1005
Amazon0302	scc+2cyc+chain	6	14138	14159	1010
Amazon0302	scc+2cyc+chain	7	14138	14159	1036
Amazon0302	scc+2cyc+chain	8	14138	14159	952
Amazon0302	scc+2cyc+chain	9	14138	14159	1041
Amazon0302	scc+2cyc	1	19158	19158	253
Amazon0302	scc+2cyc	10	19158	19158	325
Amazon0302	scc+2cyc	2	19158	19158	284
Amazon0302	scc+2cyc	3	19158	19158	375
Amazon0302	scc+2cyc	4	19158	19158	329
Amazon0302	scc+2cyc	5	19158	19158	254
Amazon0302	scc+2cyc	6	19158	19158	431
Amazon0302	scc+2cyc	7	19158	19158	368
Amazon0302	scc+2cyc	8	19158	19158	361
Amazon0302	scc+2cyc	9	19158	19158	380
Amazon0302	scc	1	1204092	1204092	94
Amazon0302	scc	10	1204092	1204092	88
Amazon0302	scc	2	1204092	1204092	80
Amazon0302	scc	3	1204092	1204092	57
Amazon0302	scc	4	1204092	1204092	90
Amazon0302	scc	5	1204092	1204092	83
Amazon0302	scc	6	1204092	1204092	93
Amazon0302	scc	7	1204092	1204092	88
Amazon0302	scc	8	1204092	1204092	94
Amazon0302	scc	9	1204092	1204092	91
Amazon0312	HCS	1	2752058	2752154	6291
Amazon0312	HCS	10	2752058	2752154	7826
Amazon0312	HCS	2	2752060	2752157	5819
Amazon0312	HCS	3	2752056	2752151	6313
Amazon0312	HCS	4	2752060	2752157	6653
Amazon0312	HCS	5	2752060	2752157	6209
Amazon0312	HCS	6	2752058	2752154	6171
Amazon0312	HCS	7	2752058	2752154	6156
Amazon0312	HCS	8	2752058	2752154	6275
Amazon0312	HCS	9	2752056	2752151	6042
Amazon0312	RED	1	488	491	2762
Amazon0312	RED	10	488	491	2684
Amazon0312	RED	2	488	491	2684
Amazon0312	RED	3	488	491	2727
Amazon0312	RED	4	488	491	2670
Amazon0312	RED	5	488	491	4741
Amazon0312	RED	6	488	491	3413
Amazon0312	RED	7	488	491	2916
Amazon0312	RED	8	488	491	2714
Amazon0312	RED	9	488	491	4024
Amazon0312	REDstar	1	28	28	2749
Amazon0312	REDstar	10	28	28	3409
Amazon0312	REDstar	2	28	28	3368
Amazon0312	REDstar	3	28	28	2770
Amazon0312	REDstar	4	28	28	3007
Amazon0312	REDstar	5	28	28	3252
Amazon0312	REDstar	6	28	28	3077
Amazon0312	REDstar	7	28	28	2742
Amazon0312	REDstar	8	28	28	2736
Amazon0312	REDstar	9	28	28	2874
Amazon0312	scc+2cyc+chain	1	648	648	2480
Amazon0312	scc+2cyc+chain	10	648	648	2456
Amazon0312	scc+2cyc+chain	2	648	648	2337
Amazon0312	scc+2cyc+chain	3	648	648	3303
Amazon0312	scc+2cyc+chain	4	648	648	2329
Amazon0312	scc+2cyc+chain	5	648	648	2837
Amazon0312	scc+2cyc+chain	6	648	648	2533
Amazon0312	scc+2cyc+chain	7	648	648	2360
Amazon0312	scc+2cyc+chain	8	648	648	2946
Amazon0312	scc+2cyc+chain	9	648	648	2476
Amazon0312	scc+2cyc	1	948	948	1079
Amazon0312	scc+2cyc	10	948	948	1071
Amazon0312	scc+2cyc	2	948	948	1088
Amazon0312	scc+2cyc	3	948	948	1124
Amazon0312	scc+2cyc	4	948	948	1022
Amazon0312	scc+2cyc	5	948	948	1063
Amazon0312	scc+2cyc	6	948	948	1093
Amazon0312	scc+2cyc	7	948	948	1402
Amazon0312	scc+2cyc	8	948	948	1093
Amazon0312	scc+2cyc	9	948	948	1119
Amazon0312	scc	1	3139205	3139205	210
Amazon0312	scc	10	3139205	3139205	201
Amazon0312	scc	2	3139205	3139205	206
Amazon0312	scc	3	3139205	3139205	211
Amazon0312	scc	4	3139205	3139205	199
Amazon0312	scc	5	3139205	3139205	198
Amazon0312	scc	6	3139205	3139205	259
Amazon0312	scc	7	3139205	3139205	198
Amazon0312	scc	8	3139205	3139205	195
Amazon0312	scc	9	3139205	3139205	204
Amazon0505	HCS	1	2940476	2940577	5905
Amazon0505	HCS	10	2940478	2940580	5943
Amazon0505	HCS	2	2940478	2940580	6371
Amazon0505	HCS	3	2940476	2940577	5926
Amazon0505	HCS	4	2940480	2940583	6056
Amazon0505	HCS	5	2940476	2940577	6363
Amazon0505	HCS	6	2940476	2940577	6097
Amazon0505	HCS	7	2940478	2940580	6034
Amazon0505	HCS	8	2940478	2940580	6289
Amazon0505	HCS	9	2940478	2940580	6114
Amazon0505	RED	1	4937	5028	2790
Amazon0505	RED	10	4937	5028	2755
Amazon0505	RED	2	4937	5028	2748
Amazon0505	RED	3	4937	5028	2844
Amazon0505	RED	4	4937	5028	2686
Amazon0505	RED	5	4937	5028	2738
Amazon0505	RED	6	4937	5028	2762
Amazon0505	RED	7	4937	5028	2677
Amazon0505	RED	8	4937	5028	2716
Amazon0505	RED	9	4937	5028	2718
Amazon0505	REDstar	1	1972	2170	2816
Amazon0505	REDstar	10	1972	2170	2730
Amazon0505	REDstar	2	1972	2170	2856
Amazon0505	REDstar	3	1972	2170	2835
Amazon0505	REDstar	4	1972	2170	272
Amazon0505	REDstar	5	1972	2170	2916
Amazon0505	REDstar	6	1972	2170	2833
Amazon0505	REDstar	7	1972	2170	2821
Amazon0505	REDstar	8	1972	2170	2733
Amazon0505	REDstar	9	1972	2170	2853
Amazon0505	scc+2cyc+chain	1	5625	5633	2467
Amazon0505	scc+2cyc+chain	10	5625	5633	2520
Amazon0505	scc+2cyc+chain	2	5625	5633	2463
Amazon0505	scc+2cyc+chain	3	5625	5633	2485
Amazon0505	scc+2cyc+chain	4	5625	5633	2459
Amazon0505	scc+2cyc+chain	5	5625	5633	2520
Amazon0505	scc+2cyc+chain	6	5625	5633	2436
Amazon0505	scc+2cyc+chain	7	5625	5633	2506
Amazon0505	scc+2cyc+chain	8	5625	5633	2486
Amazon0505	scc+2cyc+chain	9	5625	5633	2441
Amazon0505	scc+2cyc	1	9299	9299	1162
Amazon0505	scc+2cyc	10	9299	9299	1151
Amazon0505	scc+2cyc	2	9299	9299	1137
Amazon0505	scc+2cyc	3	9299	9299	1407
Amazon0505	scc+2cyc	4	9299	9299	1182
Amazon0505	scc+2cyc	5	9299	9299	1125
Amazon0505	scc+2cyc	6	9299	9299	1159
Amazon0505	scc+2cyc	7	9299	9299	1168
Amazon0505	scc+2cyc	8	9299	9299	1181
Amazon0505	scc+2cyc	9	9299	9299	1087
Amazon0505	scc	1	3317068	3317068	193
Amazon0505	scc	10	3317068	3317068	206
Amazon0505	scc	2	3317068	3317068	188
Amazon0505	scc	3	3317068	3317068	220
Amazon0505	scc	4	3317068	3317068	202
Amazon0505	scc	5	3317068	3317068	215
Amazon0505	scc	6	3317068	3317068	346
Amazon0505	scc	7	3317068	3317068	205
Amazon0505	scc	8	3317068	3317068	196
Amazon0505	scc	9	3317068	3317068	285
Amazon0601	HCS	1	2993041	2993095	5888
Amazon0601	HCS	10	2993045	2993101	5954
Amazon0601	HCS	2	2993043	2993098	5968
Amazon0601	HCS	3	2993045	2993101	6122
Amazon0601	HCS	4	2993041	2993095	6067
Amazon0601	HCS	5	2993043	2993098	5985
Amazon0601	HCS	6	2993043	2993098	5833
Amazon0601	HCS	7	2993045	2993101	6146
Amazon0601	HCS	8	2993045	2993101	5959
Amazon0601	HCS	9	2993047	2993104	5814
Amazon0601	RED	1	154	155	2644
Amazon0601	RED	10	154	155	2720
Amazon0601	RED	2	154	155	3508
Amazon0601	RED	3	154	155	3619
Amazon0601	RED	4	154	155	2734
Amazon0601	RED	5	154	155	2735
Amazon0601	RED	6	154	155	2657
Amazon0601	RED	7	154	155	2673
Amazon0601	RED	8	154	155	2674
Amazon0601	RED	9	154	155	2665
Amazon0601	REDstar	1	0	0	2806
Amazon0601	REDstar	10	0	0	3392
Amazon0601	REDstar	2	0	0	2843
Amazon0601	REDstar	3	0	0	2844
Amazon0601	REDstar	4	0	0	2689
Amazon0601	REDstar	5	0	0	3231
Amazon0601	REDstar	6	0	0	2778
Amazon0601	REDstar	7	0	0	2897
Amazon0601	REDstar	8	0	0	6014
Amazon0601	REDstar	9	0	0	2671
Amazon0601	scc+2cyc+chain	1	194	194	2386
Amazon0601	scc+2cyc+chain	10	194	194	2366
Amazon0601	scc+2cyc+chain	2	194	194	2510
Amazon0601	scc+2cyc+chain	3	194	194	2397
Amazon0601	scc+2cyc+chain	4	194	194	2442
Amazon0601	scc+2cyc+chain	5	194	194	2506
Amazon0601	scc+2cyc+chain	6	194	194	2440
Amazon0601	scc+2cyc+chain	7	194	194	2466
Amazon0601	scc+2cyc+chain	8	194	194	2513
Amazon0601	scc+2cyc+chain	9	194	194	2446
Amazon0601	scc+2cyc	1	252	252	1162
Amazon0601	scc+2cyc	10	252	252	1093
Amazon0601	scc+2cyc	2	252	252	1098
Amazon0601	scc+2cyc	3	252	252	1149
Amazon0601	scc+2cyc	4	252	252	1097
Amazon0601	scc+2cyc	5	252	252	1085
Amazon0601	scc+2cyc	6	252	252	1217
Amazon0601	scc+2cyc	7	252	252	1177
Amazon0601	scc+2cyc	8	252	252	1146
Amazon0601	scc+2cyc	9	252	252	1179
Amazon0601	scc	1	3366686	3366686	219
Amazon0601	scc	10	3366686	3366686	207
Amazon0601	scc	2	3366686	3366686	213
Amazon0601	scc	3	3366686	3366686	222
Amazon0601	scc	4	3366686	3366686	213
Amazon0601	scc	5	3366686	3366686	208
Amazon0601	scc	6	3366686	3366686	214
Amazon0601	scc	7	3366686	3366686	217
Amazon0601	scc	8	3366686	3366686	210
Amazon0601	scc	9	3366686	3366686	207
Email-EuAll	HCS	1	123996	124609	532
Email-EuAll	HCS	10	123996	124609	531
