Graph	Algorithm	RandomSeed	Solution	Time
Amazon0302	Greedy	1	353130	487
Amazon0302	Greedy	10	353185	483
Amazon0302	Greedy	2	353169	467
Amazon0302	Greedy	3	353182	470
Amazon0302	Greedy	4	353131	472
Amazon0302	Greedy	5	353131	471
Amazon0302	Greedy	6	353122	440
Amazon0302	Greedy	7	353101	462
Amazon0302	Greedy	8	353149	473
Amazon0302	Greedy	9	353127	463
Amazon0302	HCS+Greedy	1	348335	3105
Amazon0302	HCS+Greedy	10	348292	3046
Amazon0302	HCS+Greedy	2	348293	3108
Amazon0302	HCS+Greedy	3	348302	2469
Amazon0302	HCS+Greedy	4	348311	3128
Amazon0302	HCS+Greedy	5	348291	3101
Amazon0302	HCS+Greedy	6	348228	3155
Amazon0302	HCS+Greedy	7	348325	3134
Amazon0302	HCS+Greedy	8	348276	2475
Amazon0302	HCS+Greedy	9	348304	3116
Amazon0302	SimFASDC-12	1	336958	1333
Amazon0302	SimFASDC-12	10	336950	1309
Amazon0302	SimFASDC-12	2	336952	1566
Amazon0302	SimFASDC-12	3	336952	1331
Amazon0302	SimFASDC-12	4	336955	1310
Amazon0302	SimFASDC-12	5	336951	1303
Amazon0302	SimFASDC-12	6	336954	1316
Amazon0302	SimFASDC-12	7	336956	1299
Amazon0302	SimFASDC-12	8	336955	1299
Amazon0302	SimFASDC-12	9	336950	1323
Amazon0302	SimFASDC-16	1	336957	1079
Amazon0302	SimFASDC-16	10	336950	1297
Amazon0302	SimFASDC-16	2	336952	1310
Amazon0302	SimFASDC-16	3	336953	1308
Amazon0302	SimFASDC-16	4	336955	1316
Amazon0302	SimFASDC-16	5	336950	1321
Amazon0302	SimFASDC-16	6	336954	1077
Amazon0302	SimFASDC-16	7	336956	1326
Amazon0302	SimFASDC-16	8	336953	1307
Amazon0302	SimFASDC-16	9	336948	1327
Amazon0302	SimFASDC-24	1	336950	1083
Amazon0302	SimFASDC-24	10	336951	1296
Amazon0302	SimFASDC-24	2	336946	1351
Amazon0302	SimFASDC-24	3	336950	1082
Amazon0302	SimFASDC-24	4	336953	1319
Amazon0302	SimFASDC-24	5	336946	1329
Amazon0302	SimFASDC-24	6	336950	1326
Amazon0302	SimFASDC-24	7	336950	1355
Amazon0302	SimFASDC-24	8	336950	1310
Amazon0302	SimFASDC-24	9	336944	1312
Amazon0302	SimFASDC-2	1	337031	1323
Amazon0302	SimFASDC-2	10	337028	1336
Amazon0302	SimFASDC-2	2	337032	1330
Amazon0302	SimFASDC-2	3	337028	1321
Amazon0302	SimFASDC-2	4	337023	1310
Amazon0302	SimFASDC-2	5	337019	1081
Amazon0302	SimFASDC-2	6	337032	1346
Amazon0302	SimFASDC-2	7	337027	1330
Amazon0302	SimFASDC-2	8	337027	1347
Amazon0302	SimFASDC-2	9	337031	1311
Amazon0302	SimFASDC-32	1	336947	1339
Amazon0302	SimFASDC-32	10	336948	1389
Amazon0302	SimFASDC-32	2	336946	1596
Amazon0302	SimFASDC-32	3	336947	1302
Amazon0302	SimFASDC-32	4	336951	1323
Amazon0302	SimFASDC-32	5	336948	1318
Amazon0302	SimFASDC-32	6	336948	1306
Amazon0302	SimFASDC-32	7	336950	1148
Amazon0302	SimFASDC-32	8	336948	1318
Amazon0302	SimFASDC-32	9	336945	1336
Amazon0302	SimFASDC-3	1	336996	1677
Amazon0302	SimFASDC-3	10	336983	1346
Amazon0302	SimFASDC-3	2	336997	1087
Amazon0302	SimFASDC-3	3	336992	1078
Amazon0302	SimFASDC-3	4	336986	1307
Amazon0302	SimFASDC-3	5	336984	1302
Amazon0302	SimFASDC-3	6	336990	1310
Amazon0302	SimFASDC-3	7	336991	1333
Amazon0302	SimFASDC-3	8	336994	1306
Amazon0302	SimFASDC-3	9	336992	1311
Amazon0302	SimFASDC-48	1	336941	1296
Amazon0302	SimFASDC-48	10	336941	1354
Amazon0302	SimFASDC-48	2	336943	1314
Amazon0302	SimFASDC-48	3	336943	1311
