Graph	Algorithm	RandomSeed	Solution	Time
Amazon0302	Greedy	1	912345	474
Amazon0302	Greedy	10	911125	485
Amazon0302	Greedy	2	912789	592
Amazon0302	Greedy	3	913450	533
Amazon0302	Greedy	4	913117	454
Amazon0302	Greedy	5	913224	601
Amazon0302	Greedy	6	912794	573
Amazon0302	Greedy	7	911862	604
Amazon0302	Greedy	8	912402	507
Amazon0302	Greedy	9	912609	485
Amazon0302	HCS+Greedy	1	894728	2805
Amazon0302	HCS+Greedy	10	893772	2932
Amazon0302	HCS+Greedy	2	895637	2791
Amazon0302	HCS+Greedy	3	895611	2747
Amazon0302	HCS+Greedy	4	895565	2763
Amazon0302	HCS+Greedy	5	896068	2789
Amazon0302	HCS+Greedy	6	895299	2870
Amazon0302	HCS+Greedy	7	894449	2756
Amazon0302	HCS+Greedy	8	894645	2771
Amazon0302	HCS+Greedy	9	895089	2894
Amazon0302	SimFASDC-12	1	810094	1983
Amazon0302	SimFASDC-12	10	809164	2016
Amazon0302	SimFASDC-12	2	811571	1991
Amazon0302	SimFASDC-12	3	810466	1971
Amazon0302	SimFASDC-12	4	810897	1991
Amazon0302	SimFASDC-12	5	810968	1622
Amazon0302	SimFASDC-12	6	810819	2135
Amazon0302	SimFASDC-12	7	809543	1615
Amazon0302	SimFASDC-12	8	810388	2021
Amazon0302	SimFASDC-12	9	810543	2023
Amazon0302	SimFASDC-16	1	809591	2074
Amazon0302	SimFASDC-16	10	808664	2026
Amazon0302	SimFASDC-16	2	811094	2019
Amazon0302	SimFASDC-16	3	809887	1664
Amazon0302	SimFASDC-16	4	810354	2043
Amazon0302	SimFASDC-16	5	810555	2029
Amazon0302	SimFASDC-16	6	810151	2026
Amazon0302	SimFASDC-16	7	809042	2028
Amazon0302	SimFASDC-16	8	809798	2134
Amazon0302	SimFASDC-16	9	809850	2010
Amazon0302	SimFASDC-24	1	809116	1778
Amazon0302	SimFASDC-24	10	808108	2112
Amazon0302	SimFASDC-24	2	810391	2147
Amazon0302	SimFASDC-24	3	809569	2139
Amazon0302	SimFASDC-24	4	809879	2136
Amazon0302	SimFASDC-24	5	809921	2134
Amazon0302	SimFASDC-24	6	809696	2099
Amazon0302	SimFASDC-24	7	808589	1790
Amazon0302	SimFASDC-24	8	809168	2111
Amazon0302	SimFASDC-24	9	809242	2130
Amazon0302	SimFASDC-2	1	816035	2132
Amazon0302	SimFASDC-2	10	815246	1927
Amazon0302	SimFASDC-2	2	817113	1913
Amazon0302	SimFASDC-2	3	816507	1885
Amazon0302	SimFASDC-2	4	816478	1902
Amazon0302	SimFASDC-2	5	816886	1922
Amazon0302	SimFASDC-2	6	816327	1573
Amazon0302	SimFASDC-2	7	815476	1868
Amazon0302	SimFASDC-2	8	815975	1618
Amazon0302	SimFASDC-2	9	816131	1871
Amazon0302	SimFASDC-32	1	808809	2235
